"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2012",25.648,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2013",26.536,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2014",26.446,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2015",20.439,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2016",24.871,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2017",24.742,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2005",11.149,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2010",11.177,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2011",12.419,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2012",13.272,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2013",12.177,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2014",12.547,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2015",10.654,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2016",10.333,
"DNK","GRADRATEFIELD","ENGINEERING","PC","A","2017",10.965,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2005",8.159,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2010",8.784,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2011",8.208,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2012",8.427,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2013",8.552,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2014",8.475,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2015",10.425,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2016",11.072,
"DNK","GRADRATEFIELD","SOC_SCI","PC","A","2017",10.234,
"FIN","GRADRATEFIELD","EDU","PC","A","2005",7.234,
"FIN","GRADRATEFIELD","EDU","PC","A","2010",5.71,
"FIN","GRADRATEFIELD","EDU","PC","A","2011",6.318,
"FIN","GRADRATEFIELD","EDU","PC","A","2012",6.428,
"FIN","GRADRATEFIELD","EDU","PC","A","2013",6.203,
"FIN","GRADRATEFIELD","EDU","PC","A","2014",6.212,
"FIN","GRADRATEFIELD","EDU","PC","A","2015",6.511,
"FIN","GRADRATEFIELD","EDU","PC","A","2016",6.421,
"FIN","GRADRATEFIELD","EDU","PC","A","2017",6.71,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2005",20.569,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2010",19.581,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2011",20.3,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2012",20.529,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2013",20.764,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2014",20.587,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2015",19.472,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2016",19.705,
"FIN","GRADRATEFIELD","HEALTH","PC","A","2017",21.427,
"FIN","GRADRATEFIELD","ARTS","PC","A","2005",11.695,
"FIN","GRADRATEFIELD","ARTS","PC","A","2010",13.269,
"FIN","GRADRATEFIELD","ARTS","PC","A","2011",13.687,
"FIN","GRADRATEFIELD","ARTS","PC","A","2012",13.332,
"FIN","GRADRATEFIELD","ARTS","PC","A","2013",13.205,
"FIN","GRADRATEFIELD","ARTS","PC","A","2014",13.156,
"FIN","GRADRATEFIELD","ARTS","PC","A","2015",12.879,
"FIN","GRADRATEFIELD","ARTS","PC","A","2016",12.318,
"FIN","GRADRATEFIELD","ARTS","PC","A","2017",11.187,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2005",17.801,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2010",15.492,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2011",16.882,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2012",17.449,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2013",17.565,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2014",17.911,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2015",18.007,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2016",18.268,
"FIN","GRADRATEFIELD","BUSINESS","PC","A","2017",18.89,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2005",16.028,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2010",19.313,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2011",20.3,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2012",20.751,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2013",17.072,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2014",17.17,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2015",16.953,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2016",17.699,
"FIN","GRADRATEFIELD","ENGINEERING","PC","A","2017",16.163,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2005",5.7,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2010",6.502,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2011",7.283,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2012",7.303,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2013",6.928,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2014",7.246,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2015",7.281,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2016",7.209,
"FIN","GRADRATEFIELD","SOC_SCI","PC","A","2017",7.425,
"FRA","GRADRATEFIELD","EDU","PC","A","2005",2.172,
"FRA","GRADRATEFIELD","EDU","PC","A","2010",1.119,
"FRA","GRADRATEFIELD","EDU","PC","A","2011",3.496,
"FRA","GRADRATEFIELD","EDU","PC","A","2012",2.914,
"FRA","GRADRATEFIELD","EDU","PC","A","2013",2.729,
"FRA","GRADRATEFIELD","EDU","PC","A","2014",2.634,
"FRA","GRADRATEFIELD","EDU","PC","A","2015",3.36,
"FRA","GRADRATEFIELD","EDU","PC","A","2016",3.988,
"FRA","GRADRATEFIELD","EDU","PC","A","2017",4.192,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2005",14.005,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2010",14.724,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2011",15.251,
"FRA","GRADRATEFIELD","HEALTH","PC","A","2012",15.842,
